Date,Transport type,Percentage
2020-03-06,Bus (excluding London),null
2020-03-07,Bus (excluding London),null
2020-03-08,Bus (excluding London),null
2020-03-09,Bus (excluding London),102
2020-03-10,Bus (excluding London),102
2020-03-11,Bus (excluding London),98
2020-03-12,Bus (excluding London),98
2020-03-13,Bus (excluding London),94
2020-03-14,Bus (excluding London),85
2020-03-15,Bus (excluding London),85
2020-03-16,Bus (excluding London),88
2020-03-17,Bus (excluding London),77
2020-03-18,Bus (excluding London),62
2020-03-19,Bus (excluding London),58
2020-03-20,Bus (excluding London),53
2020-03-21,Bus (excluding London),4
2020-03-22,Bus (excluding London),35
2020-03-23,Bus (excluding London),27
2020-03-24,Bus (excluding London),17
2020-03-25,Bus (excluding London),14
