Date,Transport type,Percentage
17/12/2020,London bus,54
18/12/2020,London bus,52
19/12/2020,London bus,54
20/12/2020,London bus,41
21/12/2020,London bus,43
22/12/2020,London bus,44
23/12/2020,London bus,44
24/12/2020,London bus,46
25/12/2020,London bus,
26/12/2020,London bus,26
27/12/2020,London bus,35
28/12/2020,London bus,50
29/12/2020,London bus,40
30/12/2020,London bus,42
31/12/2020,London bus,42
01/01/2021,London bus,38
02/01/2021,London bus,34
03/01/2021,London bus,37
04/01/2021,London bus,36
05/01/2021,London bus,33
06/01/2021,London bus,32
07/01/2021,London bus,32
08/01/2021,London bus,31
09/01/2021,London bus,33
10/01/2021,London bus,32
11/01/2021,London bus,32
12/01/2021,London bus,31
13/01/2021,London bus,30
14/01/2021,London bus,30
15/01/2021,London bus,32
16/01/2021,London bus,31
17/01/2021,London bus,34
18/01/2021,London bus,32
19/01/2021,London bus,31
20/01/2021,London bus,31
21/01/2021,London bus,32
22/01/2021,London bus,33
23/01/2021,London bus,34
24/01/2021,London bus,30
25/01/2021,London bus,33
26/01/2021,London bus,31
27/01/2021,London bus,32
28/01/2021,London bus,33
29/01/2021,London bus,33
30/01/2021,London bus,32
31/01/2021,London bus,35
01/02/2021,London bus,34
02/02/2021,London bus,33
03/02/2021,London bus,33
04/02/2021,London bus,33
05/02/2021,London bus,35
06/02/2021,London bus,35
07/02/2021,London bus,39
08/02/2021,London bus,32
01/03/2020,Bus (excluding London),
02/03/2020,Bus (excluding London),
03/03/2020,Bus (excluding London),
04/03/2020,Bus (excluding London),
05/03/2020,Bus (excluding London),
06/03/2020,Bus (excluding London),
07/03/2020,Bus (excluding London),
08/03/2020,Bus (excluding London),
09/03/2020,Bus (excluding London),102
10/03/2020,Bus (excluding London),102
11/03/2020,Bus (excluding London),98
12/03/2020,Bus (excluding London),98
13/03/2020,Bus (excluding London),94
14/03/2020,Bus (excluding London),85
15/03/2020,Bus (excluding London),85
16/03/2020,Bus (excluding London),88
17/03/2020,Bus (excluding London),77
18/03/2020,Bus (excluding London),62
19/03/2020,Bus (excluding London),58
20/03/2020,Bus (excluding London),53
21/03/2020,Bus (excluding London),4
22/03/2020,Bus (excluding London),35
23/03/2020,Bus (excluding London),27
24/03/2020,Bus (excluding London),17
25/03/2020,Bus (excluding London),14
26/03/2020,Bus (excluding London),13
27/03/2020,Bus (excluding London),14
28/03/2020,Bus (excluding London),12
29/03/2020,Bus (excluding London),13
